"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1697088894","x1192798438888312833",2019-11-08 13:38:03,"imersaurabh","राम जन्मभूमि का संघर्ष 1528 ई० से चल रहा है जब बाबर ने मंदिर को तोड़ने का आदेश दिया था। 

490 साल से हिन्दू समाज कानूनी कार्यवाही पर विश्वास करते मंदिर बनने का इंतज़ार कर रहा है।

इससे बड़ा सहिष्णुता का उदाहरण पूरे विश्व में आपको नहीं मिलेगा।

#AYODHYAVERDICT
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,50,,,,,,,,,,,,,,"x25038521","Shanktan","hi",,,,,,,,,,,,,,,,"x1192643768668708864","राम जन्मभूमि का संघर्ष 1528 ई० से चल रहा है जब बाबर ने मंदिर को तोड़ने का आदेश दिया था। 

490 साल से हिन्दू समाज कानूनी कार्यवाही पर विश्वास करते मंदिर बनने का इंतज़ार कर रहा है।

इससे बड़ा सहिष्णुता का उदाहरण पूरे विश्व में आपको नहीं मिलेगा।

#AYODHYAVERDICT
#HistoryOfAyodhya",2019-11-08 03:23:27,"Twitter for Android",76,50,"x25038521","Shanktan","Tanmay Shankar",13823,728,17135,"Noida, (Delhi NCR) U.P.","Entrepreneur | Digital Leader | Video Expert | Digital Media Consultant |  Whatever the mind can conceive & believe, it can achieve | TOI, Jagran, Amarujala",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/imersaurabh/status/1192798438888312833","सौरभ पुरोहित चाँदसमां","Phalodi, India","Have the Guts to be True to Yourself Nothing More.
#MrRavan
#RHH","https://t.co/TdWqU3GDdj",FALSE,192,282,1,5267,161,2013-08-24 18:17:46,FALSE,"https://t.co/TdWqU3GDdj","http://www.mechinitiatives.com",,"https://pbs.twimg.com/profile_banners/1697088894/1548650631","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/859589784280469504/OI4ZgCsn_normal.jpg"
"x1945421606","x1192798342041894912",2019-11-08 13:37:40,"ChocolateLavaC1","•The struggle for liberation of Ramjanmabhoomi continued even during the reigns of Jahangir {1559-1627} and Shah Jahan [1592-1666}
#AYODHYAVERDICT 
#HistoryOfAyodhya 
#HistoryOfRamMandir","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791463404326912","•The struggle for liberation of Ramjanmabhoomi continued even during the reigns of Jahangir {1559-1627} and Shah Jahan [1592-1666}
#AYODHYAVERDICT 
#HistoryOfAyodhya 
#HistoryOfRamMandir",2019-11-08 13:10:20,"Twitter for iPhone",2,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192798342041894912","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192798164400525314",2019-11-08 13:36:58,"ChocolateLavaC1","•In 1556 AD After Humayun's death, Akbar ascended the throne. In 1580 AD, Akbar divided his empire into 12 subas. One of these 12 subas was Awadh, whose capital was Ayodhya.
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791450683002880","•In 1556 AD After Humayun's death, Akbar ascended the throne. In 1580 AD, Akbar divided his empire into 12 subas. One of these 12 subas was Awadh, whose capital was Ayodhya.
#HistoryOfAyodhya",2019-11-08 13:10:17,"Twitter for iPhone",1,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192798164400525314","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192798293572517888",2019-11-08 13:37:28,"ChocolateLavaC1","•Respecting the faith of the majority Hindu society, 
Todarmal and Birbal got the Ram platform built near the structure and allowed it to be worshiped.
#HistoryOfRamMandir 
#HistoryOfAyodhya","Twitter for Android",139,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791460321480704","•Respecting the faith of the majority Hindu society, 
Todarmal and Birbal got the Ram platform built near the structure and allowed it to be worshiped.
#HistoryOfRamMandir 
#HistoryOfAyodhya",2019-11-08 13:10:19,"Twitter for iPhone",1,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192798293572517888","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192798247074418688",2019-11-08 13:37:17,"ChocolateLavaC1","•To resolve the conflicts that had been going on for years for the Ram Janmabhoomi in Ayodhya,
Akbar sent Todarmal and Birbal to negotiate and mediate between the two communities.
#HistoryOfRamMandir 
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791456752095232","•To resolve the conflicts that had been going on for years for the Ram Janmabhoomi in Ayodhya,
Akbar sent Todarmal and Birbal to negotiate and mediate between the two communities.
#HistoryOfRamMandir 
#HistoryOfAyodhya",2019-11-08 13:10:18,"Twitter for iPhone",1,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192798247074418688","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192798207182426112",2019-11-08 13:37:08,"ChocolateLavaC1","•Even during the time of Akbar, the devotees under the leadership of Swami Balramacharya fought with the Mughals for the liberation of the birthplace for over many times.
#HistoryOfRamMandir 
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791453723844609","•Even during the time of Akbar, the devotees under the leadership of Swami Balramacharya fought with the Mughals for the liberation of the birthplace for over many times.
#HistoryOfRamMandir 
#HistoryOfAyodhya",2019-11-08 13:10:18,"Twitter for iPhone",2,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192798207182426112","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192797558512336896",2019-11-08 13:34:33,"ChocolateLavaC1","•After being defeated by Rana Sanga, Twice Babur attacked the birthplace of Sri Ram, the prominent of Hindu culture, and emerged victorious.
On the advise of Muslim fakir disciples Khwaja Abbas Musa and Jalalshah, Babur destroyed Temple of Shri Ram in  Ayodhya.
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,4,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791419502546945","•After being defeated by Rana Sanga, Twice Babur attacked the birthplace of Sri Ram, the prominent of Hindu culture, and emerged victorious.
On the advise of Muslim fakir disciples Khwaja Abbas Musa and Jalalshah, Babur destroyed Temple of Shri Ram in  Ayodhya.
#HistoryOfAyodhya",2019-11-08 13:10:10,"Twitter for iPhone",2,4,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192797558512336896","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192797913270767616",2019-11-08 13:35:58,"ChocolateLavaC1","•Hamilton, the administrative officer and historian of Mir Baqi, has given a sufficient description of the Hindu struggle from Babur's time to Humayun and Akbar for the Ramjanmabhoomi in the Gazetteer of Barabanki.
#Ayodhya 
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791440302080000","•Hamilton, the administrative officer and historian of Mir Baqi, has given a sufficient description of the Hindu struggle from Babur's time to Humayun and Akbar for the Ramjanmabhoomi in the Gazetteer of Barabanki.
#Ayodhya 
#HistoryOfAyodhya",2019-11-08 13:10:15,"Twitter for iPhone",1,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192797913270767616","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192797848405868544",2019-11-08 13:35:42,"ChocolateLavaC1","•Abul Fazl's Ain-Akbari (1598) mentions the palaces and other buildings of Lord Rama along with the administrative and financial matters of Akbar's reign, and describes Ayodhya as one of the most ancient and sacred places for Hindus.
#AYODHYAVERDICT 
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,2,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791436837568512","•Abul Fazl's Ain-Akbari (1598) mentions the palaces and other buildings of Lord Rama along with the administrative and financial matters of Akbar's reign, and describes Ayodhya as one of the most ancient and sacred places for Hindus.
#AYODHYAVERDICT 
#HistoryOfAyodhya",2019-11-08 13:10:14,"Twitter for iPhone",1,2,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192797848405868544","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
"x1945421606","x1192797719162568704",2019-11-08 13:35:12,"ChocolateLavaC1","•The British historian Cunningham has mentioned that when Mir Baqi destroyed the temple of Lord Shri Ram with a cannon on Babur's orders,
the Hindus fought fiercely and struggled in which about 1 lakh 23 thousand Rambhaktas were sacrificed.
#HistoryOfRamMandir 
#HistoryOfAyodhya","Twitter for Android",140,,,,FALSE,TRUE,0,3,,,,,,,,,,,,,,"x367719464","Girishvhp","en",,,,,,,,,,,,,,,,"x1192791429493313537","•The British historian Cunningham has mentioned that when Mir Baqi destroyed the temple of Lord Shri Ram with a cannon on Babur's orders,
the Hindus fought fiercely and struggled in which about 1 lakh 23 thousand Rambhaktas were sacrificed.
#HistoryOfRamMandir 
#HistoryOfAyodhya",2019-11-08 13:10:12,"Twitter for iPhone",1,3,"x367719464","Girishvhp","Girish Bharadwaja",15117,979,17395,"Bangalore","Vishwa Hindu Parishad | Entrepreneur | @Punarutthana 
‘मैं रहूँ या ना रहूँ, भारत रहना चाहिए’ 
📲 9448605923 | girishvhp@gmail.com",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ChocolateLavaC1/status/1192797719162568704","All Hindus With Ayappa","","If you don't like my tweets, unfollow me at  will.",,FALSE,1422,1458,153,241059,865,2013-10-07 23:50:46,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1098422846127263745/zyGkqCh__normal.jpg"
