"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1360011414","x1192359883594534912",2019-11-07 08:35:23,"GallaGossip","#AYODHYAVERDICT
#JaiBhimJaiPeriyar
#WhySoBoring
#KejriwalMustResign
#AskBagga
#NobelPrize
#DarbarMotionPoster
#GoogleCloud
#JackandDaniel
#Kejriwal 
#Delhi 
#AAPGovt https://t.co/wifhiapsZl","Twitter Web App",165,,,,FALSE,FALSE,0,0,"AYODHYAVERDICT JaiBhimJaiPeriyar WhySoBoring KejriwalMustResign AskBagga NobelPrize DarbarMotionPoster GoogleCloud JackandDaniel Kejriwal Delhi AAPGovt",,,,,"http://pbs.twimg.com/media/EIwc_QCUEAEVZK6.jpg","https://t.co/wifhiapsZl","https://twitter.com/GallaGossip/status/1192359883594534912/photo/1","photo","http://pbs.twimg.com/media/EIwc_QCUEAEVZK6.jpg","https://t.co/wifhiapsZl","https://twitter.com/GallaGossip/status/1192359883594534912/photo/1",,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GallaGossip/status/1192359883594534912","ગલ્લા Gossip","Gujarat, India","આપણે ભેગા થઈને ગામ ની પંચાયત જ કરીએ છે.. જો તમારે પણ પંચાયત કરવી હોય તો follow બટન દબાવો..",,FALSE,6677,2413,14,1124,2423,2013-04-17 18:05:43,FALSE,,,,"https://pbs.twimg.com/profile_banners/1360011414/1531826935","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1014669835744133120/yMQqyLmZ_normal.jpg"
"x532249508","x1192359874954330113",2019-11-07 08:35:21,"AntiSethi","पंजाब में ""आप"" द्वारा पराली जाने पर और दिल्ली में पराली को दोष देने के दोगलेपन पर  साइकिल चला कर दिल्ली के उप-मुख्यमंत्री मनीष सिसोदिया के घर पराली का गुच्छा भेंट करने पंहुचा.
#KejriwalMustResign https://t.co/Ph0jKEdwmm","Twitter for iPhone",140,,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x459849561","VijayGoelBJP","hi",,,,,,,,,,,,,,,,"x1192335460955111424","पंजाब में ""आप"" द्वारा पराली जाने पर और दिल्ली में पराली को दोष देने के दोगलेपन पर  साइकिल चला कर दिल्ली के उप-मुख्यमंत्री मनीष सिसोदिया के घर पराली का गुच्छा भेंट करने पंहुचा.
#KejriwalMustResign https://t.co/Ph0jKEdwmm",2019-11-07 06:58:21,"Twitter Web App",504,357,"x459849561","VijayGoelBJP","Vijay Goel",481654,156,18170,"New Delhi, India","RS MP | MP- 11th,12th&13th LS | Lottery Crusader | UNESCO Awardee | Social Activist | SRCC Alumni |  ",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AntiSethi/status/1192359874954330113","Antiset","India","Nationalist. Committed to Country with interest in Environment  and Women empowerment 100% FB .RTs not an endorsement",,FALSE,4438,4219,18,17785,4033,2012-03-21 13:59:03,FALSE,,,,"https://pbs.twimg.com/profile_banners/532249508/1468988636","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1013321341108477952/VVTH-3dW_normal.jpg"
"x1192043304394706944","x1192359849767526400",2019-11-07 08:35:15,"GhoshNukul","Why no-body is talking or writing ✍️ about solutions rather than simply blame game. #KejriwalMustResign","Twitter Web App",103,,,,FALSE,FALSE,0,0,"KejriwalMustResign",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GhoshNukul/status/1192359849767526400","Nukool_Says","New Delhi","Trying to be politically correct.",,FALSE,0,13,0,18,0,2019-11-06 11:37:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192043304394706944/1573041792",,"http://pbs.twimg.com/profile_images/1192049776759468032/x9jyVk0Q_normal.jpg"
"x1192043304394706944","x1192359610104995841",2019-11-07 08:34:18,"GhoshNukul","#KejriwalMustResign, sound like blame game.","Twitter Web App",43,,,,FALSE,FALSE,0,0,"KejriwalMustResign",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GhoshNukul/status/1192359610104995841","Nukool_Says","New Delhi","Trying to be politically correct.",,FALSE,0,13,0,18,0,2019-11-06 11:37:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192043304394706944/1573041792",,"http://pbs.twimg.com/profile_images/1192049776759468032/x9jyVk0Q_normal.jpg"
"x1192043304394706944","x1192359064723787777",2019-11-07 08:32:08,"GhoshNukul","#KejriwalMustResign, if that solves all the problems.","Twitter Web App",53,,,,FALSE,FALSE,1,0,"KejriwalMustResign",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GhoshNukul/status/1192359064723787777","Nukool_Says","New Delhi","Trying to be politically correct.",,FALSE,0,13,0,18,0,2019-11-06 11:37:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192043304394706944/1573041792",,"http://pbs.twimg.com/profile_images/1192049776759468032/x9jyVk0Q_normal.jpg"
"x1192043304394706944","x1192359262715924481",2019-11-07 08:32:55,"GhoshNukul","#KejriwalMustResign is not the not the solution of our problems (in #Delhi).","Twitter Web App",76,,,,FALSE,FALSE,0,0,"KejriwalMustResign Delhi",,,,,,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/GhoshNukul/status/1192359262715924481","Nukool_Says","New Delhi","Trying to be politically correct.",,FALSE,0,13,0,18,0,2019-11-06 11:37:44,FALSE,,,,"https://pbs.twimg.com/profile_banners/1192043304394706944/1573041792",,"http://pbs.twimg.com/profile_images/1192049776759468032/x9jyVk0Q_normal.jpg"
"x1165942767190716417","x1192359814715731969",2019-11-07 08:35:07,"hindu099","पांच साल मैंने किया यही काम है
पहले खुद खासता था
अब पूरी दिल्ली खांस रही है
#KejriwalMustResign","Twitter for Android",112,,,,FALSE,TRUE,0,3,"KejriwalMustResign",,,,,,,,,,,,,"x786568369579302912","Brijesh2594","hi",,,,,,,,,,,,,,,,"x1192358450983890944","पांच साल मैंने किया यही काम है
पहले खुद खासता था
अब पूरी दिल्ली खांस रही है
#KejriwalMustResign",2019-11-07 08:29:42,"Twitter Web App",1,3,"x786568369579302912","Brijesh2594","@बृजेश पाण्डेय",2684,263,83815,"prayagraj.up.india","HdFCना कोई लोभ ना कोई माया 
बश कान्हा का हुं दीवाना 
वही दिलको भाया❤️ @Brijesh2594",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/hindu099/status/1192359814715731969","भगवा शेरनी TPN","India","#टीम_पं_नेतन्याहू",,FALSE,3318,1414,0,17235,2267,2019-08-26 11:03:59,FALSE,,,,"https://pbs.twimg.com/profile_banners/1165942767190716417/1571137351",,"http://pbs.twimg.com/profile_images/1176713477773287424/wwz_WjGM_normal.jpg"
"x96994945","x1192359803470794759",2019-11-07 08:35:04,"Neera_26","केजरीवाल मेरे पत्र का जवाब दें और दिल्ली की जनता को बताएं की उन्होंने प्रदूषण पर विज्ञापनों में पैसा फूंकने के अलावा प्रदूषण पर क्या-क्या कदम उठाये हैं?
#KejriwalMustResign","Twitter for iPhone",139,,,,FALSE,TRUE,0,281,,,,,,,,,,,,,,"x459849561","VijayGoelBJP","hi",,,,,,,,,,,,,,,,"x1192335876820324353","केजरीवाल मेरे पत्र का जवाब दें और दिल्ली की जनता को बताएं की उन्होंने प्रदूषण पर विज्ञापनों में पैसा फूंकने के अलावा प्रदूषण पर क्या-क्या कदम उठाये हैं?
#KejriwalMustResign",2019-11-07 07:00:00,"Twitter Web App",611,281,"x459849561","VijayGoelBJP","Vijay Goel",481654,156,18170,"New Delhi, India","RS MP | MP- 11th,12th&13th LS | Lottery Crusader | UNESCO Awardee | Social Activist | SRCC Alumni |  ",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Neera_26/status/1192359803470794759","Whimsy नीरा 🇮🇳","india","I have the courage to stand up for what I really believe in .....do you???",,FALSE,10049,1362,109,150050,3902,2009-12-15 14:52:19,FALSE,,,,"https://pbs.twimg.com/profile_banners/96994945/1503475079","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1184821913262051328/_Ks--2n7_normal.jpg"
"x770680814115971072","x1192359759426441217",2019-11-07 08:34:54,"vijayya3651","#KejriwalMustResign BJP IT cell is trending paid hashtag. https://t.co/kM75TFhp4p","Twitter for Android",99,,,,FALSE,TRUE,0,2,"KejriwalMustResign",,,,,"http://pbs.twimg.com/media/EIwWfCtU0AAu8qE.jpg","https://t.co/kM75TFhp4p","https://twitter.com/TheMonukumar/status/1192352749305753600/photo/1","photo","http://pbs.twimg.com/media/EIwWfCtU0AAu8qE.jpg","https://t.co/kM75TFhp4p","https://twitter.com/TheMonukumar/status/1192352749305753600/photo/1",,"x954297906458107904","TheMonukumar","en",,,,,,,,,,,,,,,,"x1192352749305753600","#KejriwalMustResign BJP IT cell is trending paid hashtag. https://t.co/kM75TFhp4p",2019-11-07 08:07:02,"Twitter for Android",7,2,"x954297906458107904","TheMonukumar","Monu Kumar 🇮🇳",16,106,290,"Delhi, India","I believe in logic, not in magic",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/vijayya3651/status/1192359759426441217","ImVijay","Bhopal,INDIA","Proud Indian","https://t.co/hazEYtispb",FALSE,22,43,0,134,159,2016-08-30 17:53:19,FALSE,"https://t.co/hazEYtispb","https://mobile.twitter.com/vijayya3651",,"https://pbs.twimg.com/profile_banners/770680814115971072/1521337633",,"http://pbs.twimg.com/profile_images/975186817829015552/4fBQIUIg_normal.jpg"
"x1425897823","x1192359687536013312",2019-11-07 08:34:37,"basantshorewal1","#KejriwalMustResign for using taxpayers money for taxpayers https://t.co/aEzyurADKn","Twitter Web App",103,,,,FALSE,TRUE,0,10,"KejriwalMustResign",,,,,"http://pbs.twimg.com/media/EIwNknEVAAAGnxD.jpg","https://t.co/aEzyurADKn","https://twitter.com/Fluky_Engineer/status/1192342937578795011/photo/1","photo","http://pbs.twimg.com/media/EIwNknEVAAAGnxD.jpg","https://t.co/aEzyurADKn","https://twitter.com/Fluky_Engineer/status/1192342937578795011/photo/1",,"x815859366213472256","Fluky_Engineer","en",,,,,,,,,,,,,,,,"x1192342937578795011","#KejriwalMustResign for using taxpayers money for taxpayers https://t.co/aEzyurADKn",2019-11-07 07:28:03,"Twitter for iPhone",29,10,"x815859366213472256","Fluky_Engineer","Jay⚡️",3393,61,58571,"Delhi - UP","Civil Engineer",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/basantshorewal1/status/1192359687536013312","basantshorewala","","",,FALSE,45,99,0,1294,20233,2013-05-13 16:44:52,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/565181524488646656/Uk6mkGVh_normal.jpeg"
