"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x145914904","x1194250903894675456",2019-11-12 13:49:38,"1frm90Migration","We are poor people. 
We cannot afford the hike in fee. 
We tweet from iPhone. 
All in all, we are hypocrites. 
#jnuprotest #ShutDownJNU https://t.co/ZweGUsuaY6","Twitter for Android",140,,,,FALSE,TRUE,0,75,,,,,,,,,,,,,,"x111942926","followaanchal","en",,,,,,,,,,,,,,,,"x1194205793446313984","We are poor people. 
We cannot afford the hike in fee. 
We tweet from iPhone. 
All in all, we are hypocrites. 
#jnuprotest #ShutDownJNU https://t.co/ZweGUsuaY6",2019-11-12 10:50:23,"Twitter for Android",176,75,"x111942926","followaanchal","Aanchal 🇮🇳",14464,2134,39072,"Bengaluru, India","A Punjabi who says a lot of 'aiyyo'. Self-obsessed! Memory hoarder. Rajma Chawal freak. Modi 'Bhakt' (& very proud)! Followed by @narendramodi",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/1frm90Migration/status/1194250903894675456","देसी इंडियन 🇮🇳🇮🇳","India","These are my opinions. Not necessarily shared by reasonable-minded people nor my benevolent corporate overlords","https://t.co/BF8dPMPgfI",FALSE,248,526,6,25680,15616,2010-05-20 05:18:45,FALSE,"https://t.co/BF8dPMPgfI","https://twitter.com/1frm90Migration",,"https://pbs.twimg.com/profile_banners/145914904/1516437223","http://abs.twimg.com/images/themes/theme18/bg.gif","http://pbs.twimg.com/profile_images/960553758252920832/2NOQWg2J_normal.jpg"
"x999465582482223104","x1194250874291277825",2019-11-12 13:49:31,"Sunny74240064","Public won't mind funding college subsidies if it's actual useful courses like medicine,  engineering, pure sciences etc. that actually contribute value to society instead of useless crap like gender studies and African studies and lesbian dance theory #ShutDownJNU","Twitter for Android",140,,,,FALSE,TRUE,0,1176,,,,,,,,,,,,,,"x277002126","TheAhmedShariff","en",,,,,,,,,,,,,,,,"x1194146185784639488","Public won't mind funding college subsidies if it's actual useful courses like medicine,  engineering, pure sciences etc. that actually contribute value to society instead of useless crap like gender studies and African studies and lesbian dance theory #ShutDownJNU",2019-11-12 06:53:31,"Twitter for Android",2940,1176,"x277002126","TheAhmedShariff","Ahmed Shariff",11966,301,3316,"Bangalore","I'm the chemo to the cancer called WOKENESS / Sometimes, my videos go viral :
https://t.co/ZXr7iO7OD2",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sunny74240064/status/1194250874291277825","Sunny","","RT are not endorsed....All views r purely personal ...",,FALSE,61,219,0,31412,43670,2018-05-24 01:42:18,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x592991019","x1194250853873594369",2019-11-12 13:49:26,"vvbindu","□ 473 Teachers  
□ 8309 Students 
□ 1276 Admin Staff
□ 405 Hectares Campus
□ 400 Cr/Year From Government

To Produce 
Such Anti National goondas ???

○ [#ShutDownJNU]               ॥ॐ॥","Twitter for Android",140,,,,FALSE,TRUE,0,619,,,,,,,,,,,,,,"x947978746803269632","iNSAAjitDoval","en",,,,,,,,,,,,,,,,"x1194116282234224642","□ 473 Teachers  
□ 8309 Students 
□ 1276 Admin Staff
□ 405 Hectares Campus
□ 400 Cr/Year From Government

To Produce 
Such Anti National goondas ???

○ [#ShutDownJNU]               ॥ॐ॥",2019-11-12 04:54:41,"Twitter for Android",1322,619,"x947978746803269632","iNSAAjitDoval","#iNSAAjitDoval",20445,1,5,"South Block - New Delhi India","□{#NationalSecurityAdvisor} □{#National_Threat_Perceptions}
□{#Domestic_Intelligence_Inputs}
□{#Alerts_Inklings_And_Indications}
□[MaintainedByFans]",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/vvbindu/status/1194250853873594369","Subhash Velayudhan","Dubai","",,FALSE,47,351,0,3071,6072,2012-05-28 17:29:57,FALSE,,,,"https://pbs.twimg.com/profile_banners/592991019/1493201417","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/923784714766503936/7D8HhJMR_normal.jpg"
"x132134411","x1194250820184707072",2019-11-12 13:49:18,"bharathkumarsk","Public won't mind funding college subsidies if it's actual useful courses like medicine,  engineering, pure sciences etc. that actually contribute value to society instead of useless crap like gender studies and African studies and lesbian dance theory #ShutDownJNU","Twitter for iPhone",140,,,,FALSE,TRUE,0,1176,,,,,,,,,,,,,,"x277002126","TheAhmedShariff","en",,,,,,,,,,,,,,,,"x1194146185784639488","Public won't mind funding college subsidies if it's actual useful courses like medicine,  engineering, pure sciences etc. that actually contribute value to society instead of useless crap like gender studies and African studies and lesbian dance theory #ShutDownJNU",2019-11-12 06:53:31,"Twitter for Android",2940,1176,"x277002126","TheAhmedShariff","Ahmed Shariff",11966,301,3316,"Bangalore","I'm the chemo to the cancer called WOKENESS / Sometimes, my videos go viral :
https://t.co/ZXr7iO7OD2",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/bharathkumarsk/status/1194250820184707072","B","Bengaluru, Chennai ","Talent Acquisition Professional, Googler, Libran, Entrepreneur soon. Tweets are reflection of my thoughts, wishes, dreams, pain, happiness, wisdom","https://t.co/twxHxObKhq",FALSE,500,1581,54,22360,30025,2010-04-12 11:11:28,FALSE,"https://t.co/twxHxObKhq","https://twitter.com/twitter",,"https://pbs.twimg.com/profile_banners/132134411/1556991384","http://abs.twimg.com/images/themes/theme19/bg.gif","http://pbs.twimg.com/profile_images/1169315983435034625/_QoiajjL_normal.jpg"
"x134399710","x1194250813167689729",2019-11-12 13:49:16,"frmchandan","For all those running the hashtag #ShutDownJNU

They should hear these voices first https://t.co/6V9kKmPuwU","Twitter for Android",122,,,,FALSE,TRUE,0,299,"ShutDownJNU",,,,,"http://pbs.twimg.com/media/EJJm294VAAABGZM.jpg","https://t.co/6V9kKmPuwU","https://twitter.com/Ibrar_TOI/status/1194129956856483841/photo/1","photo","http://pbs.twimg.com/media/EJJm294VAAABGZM.jpg","https://t.co/6V9kKmPuwU","https://twitter.com/Ibrar_TOI/status/1194129956856483841/photo/1",,"x893376410680664064","Ibrar_TOI","en",,,,,,,,,,,,,,,,"x1194129956856483841","For all those running the hashtag #ShutDownJNU

They should hear these voices first https://t.co/6V9kKmPuwU",2019-11-12 05:49:02,"Twitter for Android",698,299,"x893376410680664064","Ibrar_TOI","Mohd Ibrar",440,354,1409,"New Delhi, India","Senior Correspondent with the Times of India covering education

Alumni @ACJIndia",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/frmchandan/status/1194250813167689729","F R M Chandan","New Delhi, India","Project Manager at Orange Business Services 
Humanist, Atheist","https://t.co/bhbZL0nzOC",FALSE,39,155,0,73,306,2010-04-18 09:06:59,FALSE,"https://t.co/bhbZL0nzOC","http://frmchandan.com",,"https://pbs.twimg.com/profile_banners/134399710/1472454103","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/509229081712279552/IjbC7s-d_normal.jpeg"
"x956462482234556416","x1194250767982452736",2019-11-12 13:49:05,"Kittyrajakuttyr","நக்சல் கூடாரமாக இருக்கும் JNU இழுத்து மூடுவது நலம். கம்யுனிஸ்ட் தூண்டிவிட 10ரூபாய் ரூம் வாடகை 300ரூபாய் கூட்டியது பெரும் தவறு போல் கடந்த வாரங்களில் அவசியம் இல்லாத போராட்டம். பொதுத்துறை நிறுவனங்கள் ஆரம்பித்து பல்கலைக்கழகங்கள் வரை சர்வமும் நாசம் காரணம் கம்யூனிஸ்ட் #ShutDownJNU","Twitter for Android",140,,,,FALSE,TRUE,0,423,,,,,,,,,,,,,,"x989020025334874112","MaridhasAnswers","ta",,,,,,,,,,,,,,,,"x1194187216802574337","நக்சல் கூடாரமாக இருக்கும் JNU இழுத்து மூடுவது நலம். கம்யுனிஸ்ட் தூண்டிவிட 10ரூபாய் ரூம் வாடகை 300ரூபாய் கூட்டியது பெரும் தவறு போல் கடந்த வாரங்களில் அவசியம் இல்லாத போராட்டம். பொதுத்துறை நிறுவனங்கள் ஆரம்பித்து பல்கலைக்கழகங்கள் வரை சர்வமும் நாசம் காரணம் கம்யூனிஸ்ட் #ShutDownJNU",2019-11-12 09:36:34,"Twitter Web App",1381,423,"x989020025334874112","MaridhasAnswers","Maridhas",31791,71,288,"மதுரை","சமூகம், ஆன்மீகம் அறிவியல் இரண்டையும் பிடித்துக்கொண்டு நகர வேண்டுமே அன்றி, ஜாதி மத வெறி கொண்டல்ல. (Official Twitter Page)",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Kittyrajakuttyr/status/1194250767982452736","Kitty Raja","","",,FALSE,80,211,0,5523,4518,2018-01-25 09:43:20,FALSE,,,,"https://pbs.twimg.com/profile_banners/956462482234556416/1536027197",,"http://pbs.twimg.com/profile_images/1167814386968223744/6EMOr7OI_normal.jpg"
"x86758004","x1194250730799939585",2019-11-12 13:48:56,"namo_soldier","@kavita_krishnan JNU stands for nothing other than Sharia inspired Communism. It needs to be shit down and the land should be given to build an Software park.
#ShutDownJNU","Twitter for iPhone",154,"x1194241920714756098","x1263706735","kavita_krishnan",FALSE,FALSE,0,0,"ShutDownJNU",,,,,,,,,,,,,"x1263706735","kavita_krishnan","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/namo_soldier/status/1194250730799939585","Vishnugupta","India- kashmir to kanyakumari","One of the few ‘De-dhimmified’ Hindu. Learning to understand dhimitude and it’s dynamics. Proud kafir, sword wielding harbi and proponent of ‘shirk’.",,FALSE,215,569,10,4601,3370,2009-11-01 17:03:41,FALSE,,,,"https://pbs.twimg.com/profile_banners/86758004/1521116129","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/974257756835213312/HgoavhKZ_normal.jpg"
"x289271595","x1194250722398765056",2019-11-12 13:48:54,"ParasKGhelani","□ 473 Teachers  
□ 8309 Students 
□ 1276 Admin Staff
□ 405 Hectares Campus
□ 400 Cr/Year From Government

To Produce 
Such Anti National goondas ???

○ [#ShutDownJNU]               ॥ॐ॥

@ABVPVoice @SunilAmbekarM @DrRPNishank @RSSorg @friendsofrss @IndiaWithRSS @PMOIndia https://t.co/AjiOx7JNhx","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x163375254","rain_mishra","en",,,,,,,,,,,,,,,,"x1194237908380553217","□ 473 Teachers  
□ 8309 Students 
□ 1276 Admin Staff
□ 405 Hectares Campus
□ 400 Cr/Year From Government

To Produce 
Such Anti National goondas ???

○ [#ShutDownJNU]               ॥ॐ॥

@ABVPVoice @SunilAmbekarM @DrRPNishank @RSSorg @friendsofrss @IndiaWithRSS @PMOIndia https://t.co/AjiOx7JNhx",2019-11-12 12:57:59,"Twitter for Android",0,1,"x163375254","rain_mishra","Renu Atulya Raj Sharma",229,603,1153,"Jammu, Jammu And Kashmir","Social Activist, Believe In Hinduism, Big fan of PM, Workout and Running in veins, Views Are Personal, RTs ≠ Endorsement, Contributor at https://t.co/uDJBCnK6RA",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ParasKGhelani/status/1194250722398765056","Paras K.Ghelani (PG)","Jamnagar, Delhi, Gandhinagar","Content Team Member, BJP Gujarat IT & Social Media Team, Co-Convener IT & Social Media BJP Saurshtra Zone.
Finance, Stocks, Sports. 
Tweets & RTs are personal.","https://t.co/zzYhUUfq6i",FALSE,6074,1220,102,198940,112957,2011-04-28 10:25:29,FALSE,"https://t.co/zzYhUUfq6i","http://www.narendramodi.in",,"https://pbs.twimg.com/profile_banners/289271595/1566394236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1133314746436837378/ZQLWSB3t_normal.png"
"x289271595","x1194250707626414080",2019-11-12 13:48:51,"ParasKGhelani","Yes ..
We don't required that university 
#ShutDownJNU https://t.co/T1xn7TidJF","Twitter Web App",95,,,,FALSE,TRUE,0,1,"ShutDownJNU",,"twitter.com/ParasKGhelani/…","https://t.co/T1xn7TidJF","https://twitter.com/ParasKGhelani/status/1194236920940728320",,,,,,,,,"x163375254","rain_mishra","en",,,,,,,,,,,,,,,,"x1194238118804647936","Yes ..
We don't required that university 
#ShutDownJNU https://t.co/T1xn7TidJF",2019-11-12 12:58:50,"Twitter for Android",0,1,"x163375254","rain_mishra","Renu Atulya Raj Sharma",229,603,1153,"Jammu, Jammu And Kashmir","Social Activist, Believe In Hinduism, Big fan of PM, Workout and Running in veins, Views Are Personal, RTs ≠ Endorsement, Contributor at https://t.co/uDJBCnK6RA",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ParasKGhelani/status/1194250707626414080","Paras K.Ghelani (PG)","Jamnagar, Delhi, Gandhinagar","Content Team Member, BJP Gujarat IT & Social Media Team, Co-Convener IT & Social Media BJP Saurshtra Zone.
Finance, Stocks, Sports. 
Tweets & RTs are personal.","https://t.co/zzYhUUfq6i",FALSE,6074,1220,102,198940,112957,2011-04-28 10:25:29,FALSE,"https://t.co/zzYhUUfq6i","http://www.narendramodi.in",,"https://pbs.twimg.com/profile_banners/289271595/1566394236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1133314746436837378/ZQLWSB3t_normal.png"
"x289271595","x1194250690547175424",2019-11-12 13:48:47,"ParasKGhelani","800+ universities in India, only JNU has riots every few months-

1) sometimes on Attendance rules
2) Chargesheet on Bharat tere Tukde Tukde 
3) now attack &amp; tearing clothes of teacher

They want 10 Rs a month, room for life in Delhi.  

#ShutDownJNU 

@SunilAmbekarM @ABVPVoice https://t.co/OyI2fHftmq","Twitter Web App",140,,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x163375254","rain_mishra","en",,,,,,,,,,,,,,,,"x1194238502327611394","800+ universities in India, only JNU has riots every few months-

1) sometimes on Attendance rules
2) Chargesheet on Bharat tere Tukde Tukde 
3) now attack &amp; tearing clothes of teacher

They want 10 Rs a month, room for life in Delhi.  

#ShutDownJNU 

@SunilAmbekarM @ABVPVoice https://t.co/OyI2fHftmq",2019-11-12 13:00:21,"Twitter for Android",0,1,"x163375254","rain_mishra","Renu Atulya Raj Sharma",229,603,1153,"Jammu, Jammu And Kashmir","Social Activist, Believe In Hinduism, Big fan of PM, Workout and Running in veins, Views Are Personal, RTs ≠ Endorsement, Contributor at https://t.co/uDJBCnK6RA",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/ParasKGhelani/status/1194250690547175424","Paras K.Ghelani (PG)","Jamnagar, Delhi, Gandhinagar","Content Team Member, BJP Gujarat IT & Social Media Team, Co-Convener IT & Social Media BJP Saurshtra Zone.
Finance, Stocks, Sports. 
Tweets & RTs are personal.","https://t.co/zzYhUUfq6i",FALSE,6074,1220,102,198940,112957,2011-04-28 10:25:29,FALSE,"https://t.co/zzYhUUfq6i","http://www.narendramodi.in",,"https://pbs.twimg.com/profile_banners/289271595/1566394236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1133314746436837378/ZQLWSB3t_normal.png"
