"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1190582716313432065","x1192042752067829764",2019-11-06 11:35:13,"SurajKa60895204","ये नया तथ्य सामने आया है, पैसे लेकर ब्लू टिक दिलवाने का, जातिवाद का घृणित रूप सामने आ रहा है।
@TwitterIndia ,
#cancelallBlueTicksinIndia https://t.co/z4fsaZvk0O","Twitter for Android",140,,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x89394337 x103770785","imdevprakash TwitterIndia","hi",,,,,,,,,,,,,,,,"x1192041167187103744","ये नया तथ्य सामने आया है, पैसे लेकर ब्लू टिक दिलवाने का, जातिवाद का घृणित रूप सामने आ रहा है।
@TwitterIndia ,
#cancelallBlueTicksinIndia https://t.co/z4fsaZvk0O",2019-11-06 11:28:55,"Twitter for Android",22,10,"x89394337","imdevprakash","Dev Prakash Meena",11767,2344,5412,"Jaipur, India","आदिवासी, मानववादी, सँविधानवादी",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SurajKa60895204/status/1192042752067829764","Suraj Kamble","","bahujn samaj",,FALSE,137,342,0,960,716,2019-11-02 10:53:58,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1190584119455035393/81ou_gSM_normal.jpg"
"x1190582716313432065","x1192042668471156736",2019-11-06 11:34:53,"SurajKa60895204","भारत का जातिवादी मीडिया 'ट्विटर बनाम दलित' बता रहा है. जबकि ये दरअसल यह है - #TwitterHatesSCSTOBCMuslims 
#JaiBhimJaiMandalJaiBirsa

समझ में नहीं आता क्या? 

 #cancelallBlueTicksinIndia","Twitter for Android",140,,,,FALSE,TRUE,0,137,"TwitterHatesSCSTOBCMuslims",,,,,,,,,,,,,"x37365807","dilipmandal","hi",,,,,,,,,,,,,,,,"x1192040498027999232","भारत का जातिवादी मीडिया 'ट्विटर बनाम दलित' बता रहा है. जबकि ये दरअसल यह है - #TwitterHatesSCSTOBCMuslims 
#JaiBhimJaiMandalJaiBirsa

समझ में नहीं आता क्या? 

 #cancelallBlueTicksinIndia",2019-11-06 11:26:16,"Twitter for Android",265,137,"x37365807","dilipmandal","Prof. Dilip Mandal",50535,3549,8680,"Delhi, India","Against Blue Tick Hierarchy. Adjunct Professor, MCNUJC, Ex Managing Editor, India Today. Author 'Media ka Underworld,' Consultant,  https://t.co/G7Kgr32rF8",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SurajKa60895204/status/1192042668471156736","Suraj Kamble","","bahujn samaj",,FALSE,137,342,0,960,716,2019-11-02 10:53:58,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1190584119455035393/81ou_gSM_normal.jpg"
"x1190582716313432065","x1192042613173473280",2019-11-06 11:34:40,"SurajKa60895204","ट्विटर पर क्‍यों छिड़ा है ट्विटर और दलित कार्यकर्ताओं के बीच घमासान? प्रिय @HindiNews18 तो मैं आपको बता देना चाहता हूँ। इस लड़ाई में सिर्फ दलित ही नहीं बल्कि ट्विटर इंडिया में आदिवासी,पिछड़े व माइनॉरिटी भी हर मिनिट छेद कर रहे हैं।#CancelallBlueTicksinIndia
https://t.co/HWrZoQ416m","Twitter for Android",139,,,,FALSE,TRUE,0,64,,,,,,,,,,,,,,"x2730745332 x2895345258","ihansraj HindiNews18","hi",,,,,,,,,,,,,,,,"x1192038848223539200","ट्विटर पर क्‍यों छिड़ा है ट्विटर और दलित कार्यकर्ताओं के बीच घमासान? प्रिय @HindiNews18 तो मैं आपको बता देना चाहता हूँ। इस लड़ाई में सिर्फ दलित ही नहीं बल्कि ट्विटर इंडिया में आदिवासी,पिछड़े व माइनॉरिटी भी हर मिनिट छेद कर रहे हैं।#CancelallBlueTicksinIndia
https://t.co/HWrZoQ416m",2019-11-06 11:19:43,"Twitter for Android",130,64,"x2730745332","ihansraj","Hansraj Meena",26581,3883,1572,"Karauli, Rajasthan & Mumbai","Writer, blogger & Socio- Political Activist with Principle of secularism, Equality, Humanity & Justice. A tribal, Son Of Farmer. @TribalArmy Founder.",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SurajKa60895204/status/1192042613173473280","Suraj Kamble","","bahujn samaj",,FALSE,137,342,0,960,716,2019-11-02 10:53:58,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1190584119455035393/81ou_gSM_normal.jpg"
"x1190582716313432065","x1192042725777928192",2019-11-06 11:35:07,"SurajKa60895204","@dilipmandal भारत का जातिवादी मीडिया 'ट्विटर बनाम दलित' बता रहा है जबकि ये दरअसल यह है- #TwitterHatesSCSTOBCMuslims 

#JaiBhimJaiMandalJaiBirsa

समझ में नहीं आता क्या?
मीडिया तेरा भी इलाज होगा!
@AlokPradhan_

#cancelallBlueTicksinIndia

@mpchalia 
@bahujanwarrior 
@Bahujan_Vichar 
@BEM_India","Twitter for Android",140,,,,FALSE,TRUE,0,3,"TwitterHatesSCSTOBCMuslims",,,,,,,,,,,,,"x873319581246521344 x37365807","AlokPradhan_ dilipmandal","hi",,,,,,,,,,,,,,,,"x1192042145735069697","@dilipmandal भारत का जातिवादी मीडिया 'ट्विटर बनाम दलित' बता रहा है जबकि ये दरअसल यह है- #TwitterHatesSCSTOBCMuslims 

#JaiBhimJaiMandalJaiBirsa

समझ में नहीं आता क्या?
मीडिया तेरा भी इलाज होगा!
@AlokPradhan_

#cancelallBlueTicksinIndia

@mpchalia 
@bahujanwarrior 
@Bahujan_Vichar 
@BEM_India",2019-11-06 11:32:49,"Twitter for Android",3,3,"x873319581246521344","AlokPradhan_","Alok Pradhan✳️",2714,826,32068,"India","Indian,Secular,Socialist...|| #SocialActivist..!!Yadav(OBC)/Tribal Supporter.!! Namo_Buddhay..|| #MissionUPSC  || #BanEVM...|| Ex-Shivajian,Maths Dept(D.U) !!",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/SurajKa60895204/status/1192042725777928192","Suraj Kamble","","bahujn samaj",,FALSE,137,342,0,960,716,2019-11-02 10:53:58,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1190584119455035393/81ou_gSM_normal.jpg"
"x798368250","x1192042752042663936",2019-11-06 11:35:13,"AnilThakur_","#cancelallBlueTicksinIndia has been the top trend on Twitter on Wednesday. The trend surfaced in connection with allegations of Twitter encouraging caste discrimination by suppressing the voices of the marginalised.

https://t.co/JuwYlWEZwY","Twitter for Android",139,,,,FALSE,TRUE,0,27,"cancelallBlueTicksinIndia",,,,,,,,,,,,,"x2982269822","TheQuint","en",,,,,,,,,,,,,,,,"x1192035942531338240","#cancelallBlueTicksinIndia has been the top trend on Twitter on Wednesday. The trend surfaced in connection with allegations of Twitter encouraging caste discrimination by suppressing the voices of the marginalised.

https://t.co/JuwYlWEZwY",2019-11-06 11:08:10,"TweetDeck",55,27,"x2982269822","TheQuint","The Quint",334167,314,283231,"","Mobile-first digital news platform. We are the signal over the noise!",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/AnilThakur_/status/1192042752042663936","Anil Thakur","New Delhi, India","#Journalist | 🇮🇳 | Challenges, struggles, failures, can all make you into a better, stronger person if you let them. #Quote","https://t.co/JaJq6jETCc",FALSE,3386,77,56,96732,17748,2012-09-02 14:28:37,FALSE,"https://t.co/JaJq6jETCc","http://Instagram.com/anilthakur_",,"https://pbs.twimg.com/profile_banners/798368250/1568904220","http://abs.twimg.com/images/themes/theme8/bg.gif","http://pbs.twimg.com/profile_images/1191624522996170752/A5IOKs4G_normal.jpg"
"x1178167102999416833","x1192042750897577984",2019-11-06 11:35:13,"Sunilckagda","Dear @TwitterIndia

You are very biased with lower caste account holders 

Plz give reservation here too🙄 

While creating account plz give caste option.😒 or make it compulsory to add category in username

अब तो आदत सी है उनको ऐसे जीने की 🎶🎶🎵🎵🎼

#cancelallBlueTicksinIndia","Twitter for Android",272,,,,FALSE,FALSE,0,0,"cancelallBlueTicksinIndia",,,,,,,,,,,,,"x103770785","TwitterIndia","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sunilckagda/status/1192042750897577984","Sunil C Kagda","India","ट्विटर पर अगर बहुजनों को अपनी आवाज सुननी है और सिर्फ फॉलोवर बन कर किसी और के लिए तालियां नहीं बजानी है, तो एक दूसरे को फॉलो करो! पोस्ट्स रिट्वीट और लाइक करो!",,FALSE,307,666,0,719,2656,2019-09-29 04:38:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1178167102999416833/1569733270",,"http://pbs.twimg.com/profile_images/1178167287905284096/3L5Yx3xl_normal.jpg"
"x1178167102999416833","x1192042384944558081",2019-11-06 11:33:46,"Sunilckagda","#cancelallBlueTicksinIndia Now","Twitter for Android",30,,,,FALSE,FALSE,0,0,"cancelallBlueTicksinIndia",,,,,,,,,,,,,,,"und",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sunilckagda/status/1192042384944558081","Sunil C Kagda","India","ट्विटर पर अगर बहुजनों को अपनी आवाज सुननी है और सिर्फ फॉलोवर बन कर किसी और के लिए तालियां नहीं बजानी है, तो एक दूसरे को फॉलो करो! पोस्ट्स रिट्वीट और लाइक करो!",,FALSE,307,666,0,719,2656,2019-09-29 04:38:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1178167102999416833/1569733270",,"http://pbs.twimg.com/profile_images/1178167287905284096/3L5Yx3xl_normal.jpg"
"x1178167102999416833","x1192042545401884673",2019-11-06 11:34:24,"Sunilckagda","#cancelallBlueTicksinIndia

भारत का जातिवादी मीडिया 'ट्विटर बनाम दलित' बता रहा है. जबकि ये दरअसल यह है - #TwitterHatesSCSTOBCMuslims 
#JaiBhimJaiMandalJaiBirsa

समझ में नहीं आता क्या? 

 #cancelallBlueTicksinIndia","Twitter for Android",213,,,,FALSE,FALSE,0,0,"cancelallBlueTicksinIndia TwitterHatesSCSTOBCMuslims JaiBhimJaiMandalJaiBirsa cancelallBlueTicksinIndia",,,,,,,,,,,,,,,"hi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Sunilckagda/status/1192042545401884673","Sunil C Kagda","India","ट्विटर पर अगर बहुजनों को अपनी आवाज सुननी है और सिर्फ फॉलोवर बन कर किसी और के लिए तालियां नहीं बजानी है, तो एक दूसरे को फॉलो करो! पोस्ट्स रिट्वीट और लाइक करो!",,FALSE,307,666,0,719,2656,2019-09-29 04:38:36,FALSE,,,,"https://pbs.twimg.com/profile_banners/1178167102999416833/1569733270",,"http://pbs.twimg.com/profile_images/1178167287905284096/3L5Yx3xl_normal.jpg"
"x1033713947315068928","x1192042750046138369",2019-11-06 11:35:13,"Ankit98845723","Why Dalits are accusing Twitter of casteism and communal bigotry? #Scroll_story.
#cancelallBlueTicksinIndia 
https://t.co/ysuXoa4r4C","Twitter for Android",140,,,,FALSE,TRUE,0,1,"Scroll_story cancelallBlueTicksinIndia",,,,,,,,,,,,,"x619889757","Journo_vivek","en",,,,,,,,,,,,,,,,"x1192041412843491329","Why Dalits are accusing Twitter of casteism and communal bigotry? #Scroll_story.
#cancelallBlueTicksinIndia 
https://t.co/ysuXoa4r4C",2019-11-06 11:29:54,"Twitter Web App",2,1,"x619889757","Journo_vivek","Vivekanand Singh",760,1042,4035,"Ranchi, India","Journalist। Politics is in my blood। Studied - @IIMC_India, Previous - @inextlive Views are personal. RT not every time endorsement. जय भीम।",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ankit98845723/status/1192042750046138369","🐦 Ankit","","INDIA that is the BHARAT
माया भगत दूर रहे
#banevm
bring ballot papers",,FALSE,1411,4637,0,42369,24770,2018-08-26 13:53:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/1033713947315068928/1568093786",,"http://pbs.twimg.com/profile_images/1190543170146316289/_g23LYhO_normal.jpg"
"x1033713947315068928","x1192042377185087489",2019-11-06 11:33:44,"Ankit98845723","साथियों अभी  हम पिछड़कर worldwide trending में #25वें नंबर पर हैं ....हमें किसी भी हालत में नंबर #1 पर आना होगा यही 15 नवंबर को बिरसा मुंडा जी को हमारी सच्ची श्रद्धांजलि होगी..उठो जागो और तब तक मत रुको जब तक हम #1 पर नहीं आ जाते
#cancelallBlueTicksinIndia 
@ihansraj @dilipmandal","Twitter for Android",139,,,,FALSE,TRUE,0,61,"25वें",,,,,,,,,,,,,"x1163868564769529857","VinodMeenaIITR","hi",,,,,,,,,,,,,,,,"x1191997357908361216","साथियों अभी  हम पिछड़कर worldwide trending में #25वें नंबर पर हैं ....हमें किसी भी हालत में नंबर #1 पर आना होगा यही 15 नवंबर को बिरसा मुंडा जी को हमारी सच्ची श्रद्धांजलि होगी..उठो जागो और तब तक मत रुको जब तक हम #1 पर नहीं आ जाते
#cancelallBlueTicksinIndia 
@ihansraj @dilipmandal",2019-11-06 08:34:51,"Twitter for Android",62,61,"x1163868564769529857","VinodMeenaIITR","Vinod Meena",587,2767,118,"New Delhi, India","https://t.co/8f2XzhyGBj from IIT ROORKEE",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/Ankit98845723/status/1192042377185087489","🐦 Ankit","","INDIA that is the BHARAT
माया भगत दूर रहे
#banevm
bring ballot papers",,FALSE,1411,4637,0,42369,24770,2018-08-26 13:53:05,FALSE,,,,"https://pbs.twimg.com/profile_banners/1033713947315068928/1568093786",,"http://pbs.twimg.com/profile_images/1190543170146316289/_g23LYhO_normal.jpg"
