"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1177968125058224128","x1194177378123055104",2019-11-12 08:57:28,"RustamChatbox","Statue of Unity - 3000 cr

Cost of printing new notes after demo b/w 2016-18 - almost 13,000 cr.

Money spent by BJP on ads since 2014-2018 - over 5,200 cr

But, public univs like JNU are a waste of tax payers money because poor can study there. #JNUProtest

*Official Figures","Twitter Web App",139,,,,FALSE,TRUE,0,3933,,,,,,,,,,,,,,"x721093982042791936","UmarKhalidJNU","en",,,,,,,,,,,,,,,,"x1193955782259294209","Statue of Unity - 3000 cr

Cost of printing new notes after demo b/w 2016-18 - almost 13,000 cr.

Money spent by BJP on ads since 2014-2018 - over 5,200 cr

But, public univs like JNU are a waste of tax payers money because poor can study there. #JNUProtest

*Official Figures",2019-11-11 18:16:55,"Twitter for Android",12161,3933,"x721093982042791936","UmarKhalidJNU","Umar Khalid",286513,1006,2051,"","Associated with United Against Hate. Aspiring Historian. Fiercely democratic",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RustamChatbox/status/1194177378123055104","Rustam","","Biased towards secularism and democracy.",,FALSE,2,32,0,1330,1986,2019-09-28 15:27:52,FALSE,,,,,,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"x1096689083131121664","x1194177377766498305",2019-11-12 08:57:28,"David81353099","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA","Twitter Web App",140,,,,FALSE,TRUE,0,35,,,,,,,,,,,,,,"x1422391526","SwamiGeetika","en",,,,,,,,,,,,,,,,"x1194175497409712129","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA",2019-11-12 08:49:59,"Twitter Web App",49,35,"x1422391526","SwamiGeetika","Geetika Swami",42927,46,51173,"KL, Malaysia","Architect | Indophile | Webaholic | Don’t make a noise, Make a difference l",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/David81353099/status/1194177377766498305","David","Noida, India","Believe in Humanity, An Indian by heart - Jai Hind 🇮🇳",,FALSE,6,22,0,116,109,2019-02-16 08:33:47,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1096691537528860672/v-gVbgIy_normal.png"
"x2786970473","x1194177365389107206",2019-11-12 08:57:25,"mugilanraina003","Statue of Unity - 3000 cr

Cost of printing new notes after demo b/w 2016-18 - almost 13,000 cr.

Money spent by BJP on ads since 2014-2018 - over 5,200 cr

But, public univs like JNU are a waste of tax payers money because poor can study there. #JNUProtest

*Official Figures","Twitter for Android",139,,,,FALSE,TRUE,0,3933,,,,,,,,,,,,,,"x721093982042791936","UmarKhalidJNU","en",,,,,,,,,,,,,,,,"x1193955782259294209","Statue of Unity - 3000 cr

Cost of printing new notes after demo b/w 2016-18 - almost 13,000 cr.

Money spent by BJP on ads since 2014-2018 - over 5,200 cr

But, public univs like JNU are a waste of tax payers money because poor can study there. #JNUProtest

*Official Figures",2019-11-11 18:16:55,"Twitter for Android",12161,3933,"x721093982042791936","UmarKhalidJNU","Umar Khalid",286513,1006,2051,"","Associated with United Against Hate. Aspiring Historian. Fiercely democratic",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mugilanraina003/status/1194177365389107206","mugil","tn, India","",,FALSE,105,893,0,8975,15749,2014-09-27 10:31:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/2786970473/1522384666","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067045137904152576/RhaqOVfE_normal.jpg"
"x2786970473","x1194176915524866048",2019-11-12 08:55:38,"mugilanraina003","Came to Delhi in 2004..worked in a call centre before taking admission in JNU. Had I not cracked the JNU entrance test, I might not have got higher education coz it was unaffordable for me. Even 5k/month was too much. JNU made it possible. In solidarity with JNU! #JNUProtest","Twitter for Android",140,,,,FALSE,TRUE,0,717,,,,,,,,,,,,,,"x44554829","shahnawazk","en",,,,,,,,,,,,,,,,"x1193844994865430528","Came to Delhi in 2004..worked in a call centre before taking admission in JNU. Had I not cracked the JNU entrance test, I might not have got higher education coz it was unaffordable for me. Even 5k/month was too much. JNU made it possible. In solidarity with JNU! #JNUProtest",2019-11-11 10:56:42,"Twitter Web App",3027,717,"x44554829","shahnawazk","Shahnawaz شاہ نواز",5834,568,23186,"New Delhi, India","Strategic Communications Professional | Former Lecturer @AmityUni |Ex-National Secretary @nsui | Ex #JNUSU | Tweets personal, Every RT≠ endorsement",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/mugilanraina003/status/1194176915524866048","mugil","tn, India","",,FALSE,105,893,0,8975,15749,2014-09-27 10:31:09,FALSE,,,,"https://pbs.twimg.com/profile_banners/2786970473/1522384666","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067045137904152576/RhaqOVfE_normal.jpg"
"x1067855305654980608","x1194177362021081089",2019-11-12 08:57:24,"RahulSrivathsan","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA","Twitter for Android",140,,,,FALSE,TRUE,0,35,,,,,,,,,,,,,,"x1422391526","SwamiGeetika","en",,,,,,,,,,,,,,,,"x1194175497409712129","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA",2019-11-12 08:49:59,"Twitter Web App",49,35,"x1422391526","SwamiGeetika","Geetika Swami",42927,46,51173,"KL, Malaysia","Architect | Indophile | Webaholic | Don’t make a noise, Make a difference l",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/RahulSrivathsan/status/1194177362021081089","Rahul Srivathsan","Chennai, India","politically incorrect. right wing conservative",,FALSE,122,368,0,6582,10964,2018-11-28 18:58:39,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1125066396713357312/jjDplGdK_normal.jpg"
"x808222346074914816","x1194177358116188161",2019-11-12 08:57:23,"PiparaPawan","प्रतिमाह 10 रू मैं हॉस्टल , 250 में कैंटीन में खिलाकर देश का दुश्मन पैदा करने वाले जेएनयू को बंद करो.
#jnuprotest","Twitter for Android",133,,,,FALSE,TRUE,0,716,"jnuprotest",,,,,,,,,,,,,"x1079851211883393024","Amrita_pandey1","hi",,,,,,,,,,,,,,,,"x1194111688171229193","प्रतिमाह 10 रू मैं हॉस्टल , 250 में कैंटीन में खिलाकर देश का दुश्मन पैदा करने वाले जेएनयू को बंद करो.
#jnuprotest",2019-11-12 04:36:26,"Twitter for Android",2281,716,"x1079851211883393024","Amrita_pandey1","Amrita Pandey",37799,403,8035,"New Delhi, India","#IIT | Nationallist🇮🇳| writer | Blogger | Supporter :- RSS-BJP 👌",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/PiparaPawan/status/1194177358116188161","PAWAN PIPARA","Mumbai, India","",,FALSE,78,112,0,2730,4084,2016-12-12 08:09:58,FALSE,,,,,,"http://pbs.twimg.com/profile_images/1160747682148823048/eslaHM1e_normal.jpg"
"x2175353464","x1194177356149092352",2019-11-12 08:57:23,"lostboy_pradeep","सियासत के इस दौर मैं एक आवाज भी अगर हुकूमत के फैसले के खिलाफ है तो ये हमारी जम्हूरियत की जीत है ये हमारे #jnu की जीत है #jnuprotest #JNUFeeHike https://t.co/dogjADjAlL","Twitter Web App",143,,,,FALSE,FALSE,0,0,"jnu jnuprotest JNUFeeHike",,,,,"http://pbs.twimg.com/media/EJKR9POUwAEk7Aq.jpg","https://t.co/dogjADjAlL","https://twitter.com/lostboy_pradeep/status/1194177356149092352/photo/1","photo","http://pbs.twimg.com/media/EJKR9POUwAEk7Aq.jpg http://pbs.twimg.com/media/EJKR9PcU0AADi3T.jpg http://pbs.twimg.com/media/EJKR9PZVUAAeVG-.jpg http://pbs.twimg.com/media/EJKR9PZUwAAeToX.jpg","https://t.co/dogjADjAlL https://t.co/dogjADjAlL https://t.co/dogjADjAlL https://t.co/dogjADjAlL","https://twitter.com/lostboy_pradeep/status/1194177356149092352/photo/1 https://twitter.com/lostboy_pradeep/status/1194177356149092352/photo/1 https://twitter.com/lostboy_pradeep/status/1194177356149092352/photo/1 https://twitter.com/lostboy_pradeep/status/1194177356149092352/photo/1",,,,"hi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/lostboy_pradeep/status/1194177356149092352","pradeep choudhary","","Pani ki botal or galatfahmi kabhi bhi saath lekar nahi chalta

Certified antinational",,FALSE,7,59,1,140,283,2013-11-10 05:14:26,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1177875260546277376/nsGt0XCe_normal.jpg"
"x2934653322","x1194177355687743489",2019-11-12 08:57:22,"manoj_3453","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA","Twitter Web App",140,,,,FALSE,TRUE,0,35,,,,,,,,,,,,,,"x1422391526","SwamiGeetika","en",,,,,,,,,,,,,,,,"x1194175497409712129","""JNU gets more funds than any other universities in India and yet it produces disloyal students""

JNU hostels almost like a 'Dharamshala', why the taxpayers should to be wasted on this anarchist hub JNU @Swamy39 

#JNUFreebies #jnuprotest #JNUFeeHike https://t.co/RXDlWuAfDA",2019-11-12 08:49:59,"Twitter Web App",49,35,"x1422391526","SwamiGeetika","Geetika Swami",42927,46,51173,"KL, Malaysia","Architect | Indophile | Webaholic | Don’t make a noise, Make a difference l",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/manoj_3453/status/1194177355687743489","MANOJKUMARSINGH","new delhi-india","proud be Indian & Hindu
always be for help like a human beings",,FALSE,151,939,2,2840,2615,2014-12-18 11:37:21,FALSE,,,,"https://pbs.twimg.com/profile_banners/2934653322/1439902497","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1142420673425358849/EPoWJNHj_normal.jpg"
"x918349973376208897","x1194177346577682433",2019-11-12 08:57:20,"umang52522430","कब जागेगी भाजपा सरकार, सस्ती शिक्षा है सब का अधिकार। #jnuprotest","Twitter for Android",82,,,,FALSE,TRUE,0,726,"jnuprotest",,,,,,,,,,,,,"x756108545859448832","HardikPatel_","hi",,,,,,,,,,,,,,,,"x1193896613153951750","कब जागेगी भाजपा सरकार, सस्ती शिक्षा है सब का अधिकार। #jnuprotest",2019-11-11 14:21:48,"Twitter for iPhone",5604,726,"x756108545859448832","HardikPatel_","Hardik Patel",1023443,331,3503,"Gujarat, India","| Proud Indian Patriot | Inspired by Ideology of Gandhi, Sardar Patel and Pandit Nehru. Worker of Indian National Congress. I fight for the people.",TRUE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/umang52522430/status/1194177346577682433","Umang patel","Gujarat, India","",,FALSE,97,388,0,2563,28501,2017-10-12 05:37:50,FALSE,,,,,,"http://pbs.twimg.com/profile_images/918496306535870466/YXLr3pFV_normal.jpg"
"x4388415132","x1194177338142945280",2019-11-12 08:57:18,"logicalindianz","The hate against JNU is symptomatic of the privileged class/caste hating the idea of their ""inferiors"" rising up to the same socooeconomic circles that they are in.
#ShutDownJNU because how dare people with less than 6k income be studying in India's top University 
#jnuprotest","Twitter for Android",140,,,,FALSE,TRUE,0,111,,,,,,,,,,,,,,"x1183392502662852609","OnneshOnn_","en",,,,,,,,,,,,,,,,"x1194129052111519744","The hate against JNU is symptomatic of the privileged class/caste hating the idea of their ""inferiors"" rising up to the same socooeconomic circles that they are in.
#ShutDownJNU because how dare people with less than 6k income be studying in India's top University 
#jnuprotest",2019-11-12 05:45:26,"Twitter for Android",261,111,"x1183392502662852609","OnneshOnn_","Anwesh",15,136,126,"New Delhi, India","Not here for hookups.
Very interested in the social, political, environmental, economic and cultural crises we're in. And memes.
Research Scholar, Econ @JNU_IN",FALSE,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/logicalindianz/status/1194177338142945280","Augustine Varkey","","Retiree from Govt of India. Worked as telecom engineer! Always thought of the future of this country! Still am.",,FALSE,4612,3177,63,121131,17124,2015-11-28 13:13:31,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/877753690802671616/SWH4ltEg_normal.jpg"
